海尚乐苑,41408元/m2,17套在售二手房
昆阳小区,31353元/m2,78套在售二手房
东明苑,60083元/m2,15套在售二手房
君悦静安,101750元/m2,28套在售二手房
爱法新城,61108元/m2,11套在售二手房
远景佳苑一期,56978元/m2,3套在售二手房
东方巴黎,116267元/m2,7套在售二手房
大华锦绣华城(四街区),75324元/m2,25套在售二手房
新里米兰公寓,34113元/m2,8套在售二手房
夏朵园,33555元/m2,65套在售二手房
大华锦绣华城(十八街区)(公寓),82444元/m2,21套在售二手房
一品漫城(一期)(公寓),58896元/m2,21套在售二手房
静安紫苑,85877元/m2,17套在售二手房
金桥瑞仕花园,91365元/m2,11套在售二手房
海尚逸苑,61862元/m2,19套在售二手房
大运盛城,69555元/m2,12套在售二手房
荣域飘鹰锦和花园(公寓),41619元/m2,15套在售二手房
太阳都市花园,87222元/m2,45套在售二手房
高兴花园,49143元/m2,42套在售二手房
亚都国际名园,90213元/m2,10套在售二手房
阳光城市家园,56400元/m2,7套在售二手房
上海阳城,60203元/m2,18套在售二手房
浦江名邸,71207元/m2,14套在售二手房
海申花园,58212元/m2,13套在售二手房
绿地时代名邸,25378元/m2,86套在售二手房
象屿名城,48171元/m2,22套在售二手房
永翔佳苑,41883元/m2,6套在售二手房
恒大华城东林苑,65013元/m2,16套在售二手房
中星恬园,93147元/m2,5套在售二手房
水清年华花园,54696元/m2,9套在售二手房
密云小区,90749元/m2,34套在售二手房
泰府名邸,114371元/m2,11套在售二手房
御上海,44394元/m2,34套在售二手房
金桂小区,84694元/m2,23套在售二手房
虹桥府邸,82621元/m2,4套在售二手房
绿地海怡公寓,77138元/m2,20套在售二手房
中环一号(二期),57179元/m2,34套在售二手房
强生古北花园,89236元/m2,14套在售二手房
大华锦绣华城(十九街区)(公寓),77080元/m2,26套在售二手房
海上国际花园(一期),78020元/m2,21套在售二手房
徐汇新城(公寓),67519元/m2,25套在售二手房
康桥水都(公寓),35683元/m2,28套在售二手房
南江苑,55713元/m2,24套在售二手房
崮山小区一街坊,85965元/m2,11套在售二手房
新江湾佳苑,83923元/m2,10套在售二手房
虹桥华庭,91355元/m2,17套在售二手房
里昂花园,64442元/m2,10套在售二手房
悠和家园,61562元/m2,5套在售二手房
印象欧洲(公寓),67327元/m2,13套在售二手房
青春驿站,49285元/m2,32套在售二手房
万源城朗郡,81953元/m2,12套在售二手房
金鹤新城双佳翠庭,44402元/m2,23套在售二手房
天馨花园(公寓),36578元/m2,28套在售二手房
万科白马花园(公寓),41489元/m2,30套在售二手房
金地自在城(二期),38334元/m2,63套在售二手房
东方丽景,60961元/m2,11套在售二手房
半岛花园,70635元/m2,7套在售二手房
玉兰香苑(四期),49970元/m2,12套在售二手房
好世皇马苑,42886元/m2,9套在售二手房
静安河滨花园,83429元/m2,7套在售二手房
葑润华庭,47221元/m2,13套在售二手房
新时代富嘉花园,69011元/m2,10套在售二手房
